,sample,set,dna,Log Copy Number,Cycle Threshold,r2
0,Std2,1,100000.0,11.512925465,21.12,0.974264403594
1,Std2,1,100000.0,11.512925465,21.05,0.974264403594
2,Std2,1,100000.0,11.512925465,21.15,0.974264403594
3,Std1,1,1000000.0,13.815510558,17.76,0.974264403594
4,Std1,1,1000000.0,13.815510558,17.81,0.974264403594
5,Std1,1,1000000.0,13.815510558,17.07,0.974264403594
6,Std0,1,10000000.0,16.118095651,15.41,0.974264403594
7,Std0,1,10000000.0,16.118095651,15.18,0.974264403594
8,Std0,1,10000000.0,16.118095651,15.45,0.974264403594
9,Test,1,1464739.06042,14.1971876688,17.51,0.974264403594
10,Test,1,2710231.58101,14.8125446435,16.72,0.974264403594
11,Test,1,1273118.23282,14.0569797505,17.69,0.974264403594
