baseline_subtracted_value,background_subtracted_value,fluorescence_value,channel,well_num,cycle_num
16028,648836,148538,1,1,1
33043,665851,152418,1,1,2
45615,678424,155285,1,1,3
56302,689111,157722,1,1,4
64376,697184,159563,1,1,5
71094,703903,161095,1,1,6
83290,716098,163876,1,1,7
86438,719247,164594,1,1,8
89240,722049,165233,1,1,9
93902,726711,166296,1,1,10
95533,728342,166668,1,1,11
99103,731912,167482,1,1,12
101611,734420,168054,1,1,13
29486,662295,151607,1,1,14
-33749,599059,137187,1,1,15
-33056,599752,137345,1,1,16
-30350,602457,137962,1,1,17
-28500,604308,138384,1,1,18
-26320,606487,138881,1,1,19
-25316,607492,139110,1,1,20
-21202,611605,140048,1,1,21
-20097,612710,140300,1,1,22
-17260,615547,140947,1,1,23
-15918,616889,141253,1,1,24
-13300,619507,141850,1,1,25
-12471,620336,142039,1,1,26
-9779,623029,142653,1,1,27
-6262,626546,143455,1,1,28
-6244,626563,143459,1,1,29
0,632808,144883,1,1,30
7897,640706,146684,1,1,31
26710,659519,150974,1,1,32
54575,687383,157328,1,1,33
103497,736306,168484,1,1,34
177376,810185,185331,1,1,35
274015,906824,207368,1,1,36
390743,1023552,233986,1,1,37
514343,1147152,262171,1,1,38
634584,1267393,289590,1,1,39
744958,1377766,314759,1,1,40
14729,815985,218817,1,2,1
31668,832924,223346,1,2,2
26941,828197,222082,1,2,3
4192,805448,216000,1,2,4
2113,803369,215444,1,2,5
1795,803051,215359,1,2,6
733,801989,215075,1,2,7
796,802052,215092,1,2,8
325,801581,214966,1,2,9
86,801342,214902,1,2,10
-1036,800219,214602,1,2,11
-448,800807,214759,1,2,12
-269,800986,214807,1,2,13
-710,800545,214689,1,2,14
-86,801170,214856,1,2,15
-1114,800141,214581,1,2,16
-662,800594,214702,1,2,17
-2004,799251,214343,1,2,18
-2921,798334,214098,1,2,19
-2277,798978,214270,1,2,20
-867,800388,214647,1,2,21
2060,803316,215430,1,2,22
9518,810775,217424,1,2,23
24199,825455,221349,1,2,24
47853,849109,227673,1,2,25
83583,884839,237226,1,2,26
128788,930044,249312,1,2,27
179663,980919,262914,1,2,28
232558,1033814,277056,1,2,29
283957,1085213,290798,1,2,30
331728,1132984,303570,1,2,31
376230,1177486,315468,1,2,32
417878,1219134,326603,1,2,33
455206,1256462,336583,1,2,34
487892,1289148,345322,1,2,35
517518,1318775,353243,1,2,36
543906,1345162,360298,1,2,37
564788,1366044,365881,1,2,38
583474,1384730,370877,1,2,39
598667,1399923,374939,1,2,40
882,754959,205661,1,3,1
6415,760492,207163,1,3,2
8781,762857,207805,1,3,3
7134,761211,207358,1,3,4
5900,759976,207023,1,3,5
4846,758923,206737,1,3,6
3520,757596,206377,1,3,7
2879,756955,206203,1,3,8
1294,755371,205773,1,3,9
554,754631,205572,1,3,10
-554,753522,205271,1,3,11
-757,753319,205216,1,3,12
-1578,752498,204993,1,3,13
-2230,751846,204816,1,3,14
-1549,752527,205001,1,3,15
-1726,752350,204953,1,3,16
-845,753231,205192,1,3,17
-1401,752674,205041,1,3,18
-1869,752207,204914,1,3,19
-1615,752461,204983,1,3,20
-1092,752984,205125,1,3,21
3512,757589,206375,1,3,22
11201,765278,208462,1,3,23
26103,780180,212507,1,3,24
50047,804123,219006,1,3,25
83753,837829,228155,1,3,26
126949,881026,239880,1,3,27
174600,928676,252814,1,3,28
223167,977244,265997,1,3,29
268917,1022994,278415,1,3,30
312935,1067012,290363,1,3,31
354256,1108333,301579,1,3,32
393065,1147142,312113,1,3,33
427379,1181456,321427,1,3,34
458569,1212645,329893,1,3,35
485728,1239805,337265,1,3,36
509575,1263652,343738,1,3,37
530560,1284637,349434,1,3,38
548292,1302369,354247,1,3,39
562822,1316899,358191,1,3,40
4750,879046,217938,1,4,1
13629,887925,220131,1,4,2
15839,890135,220677,1,4,3
15131,889427,220502,1,4,4
14135,888431,220256,1,4,5
11645,885941,219641,1,4,6
8337,882633,218824,1,4,7
5475,879771,218117,1,4,8
2589,876884,217404,1,4,9
678,874973,216932,1,4,10
-678,873617,216597,1,4,11
-1536,872759,216385,1,4,12
-2062,872232,216255,1,4,13
-4232,870062,215719,1,4,14
-3305,870990,215948,1,4,15
-5544,868751,215395,1,4,16
-5605,868690,215380,1,4,17
-6074,868220,215264,1,4,18
-6852,867443,215072,1,4,19
-6588,867706,215137,1,4,20
-3127,871168,215992,1,4,21
2224,876520,217314,1,4,22
11143,885439,219517,1,4,23
28949,903244,223915,1,4,24
56236,930531,230655,1,4,25
93762,968057,239924,1,4,26
141591,1015887,251738,1,4,27
193319,1067615,264515,1,4,28
245727,1120023,277460,1,4,29
298164,1172460,290412,1,4,30
346803,1221099,302426,1,4,31
392572,1266868,313731,1,4,32
436418,1310713,324561,1,4,33
474535,1348830,333976,1,4,34
510506,1384802,342861,1,4,35
540712,1415008,350322,1,4,36
570210,1444505,357608,1,4,37
594991,1469286,363729,1,4,38
615986,1490282,368915,1,4,39
634638,1508934,373522,1,4,40
8270,778864,209332,1,5,1
14212,784806,210922,1,5,2
12471,783065,210456,1,5,3
9444,780038,209646,1,5,4
4761,775355,208393,1,5,5
3322,773916,208008,1,5,6
3400,773994,208029,1,5,7
0,770594,207119,1,5,8
-1607,768986,206689,1,5,9
-1195,769398,206799,1,5,10
-2104,768489,206556,1,5,11
-2814,767779,206366,1,5,12
-3591,767002,206158,1,5,13
-3741,766852,206118,1,5,14
-3344,767249,206224,1,5,15
-2518,768075,206445,1,5,16
882,771476,207355,1,5,17
5336,775930,208547,1,5,18
14239,784833,210929,1,5,19
30533,801127,215289,1,5,20
56541,827135,222248,1,5,21
93705,864299,232192,1,5,22
136273,906867,243582,1,5,23
180608,951202,255445,1,5,24
227168,997762,267903,1,5,25
270158,1040752,279406,1,5,26
311926,1082520,290582,1,5,27
351399,1121993,301144,1,5,28
387718,1158312,310862,1,5,29
421537,1192131,319911,1,5,30
450411,1221005,327637,1,5,31
478053,1248647,335033,1,5,32
501840,1272434,341398,1,5,33
523509,1294103,347196,1,5,34
541665,1312259,352054,1,5,35
558457,1329051,356547,1,5,36
573230,1343824,360500,1,5,37
585930,1356524,363898,1,5,38
597463,1368057,366984,1,5,39
605394,1375988,369106,1,5,40
-7508,835442,242438,1,6,1
-442,842508,244480,1,6,2
2363,845314,245291,1,6,3
1906,844857,245159,1,6,4
1795,844746,245127,1,6,5
2231,845182,245253,1,6,6
685,843636,244806,1,6,7
242,843193,244678,1,6,8
0,842951,244608,1,6,9
-612,842338,244431,1,6,10
-1948,841002,244045,1,6,11
-2948,840002,243756,1,6,12
-3788,839162,243513,1,6,13
-4190,838760,243397,1,6,14
-4747,838203,243236,1,6,15
-5117,837833,243129,1,6,16
-3788,839162,243513,1,6,17
-2110,840840,243998,1,6,18
1968,844919,245177,1,6,19
10737,853688,247711,1,6,20
27245,870196,252482,1,6,21
54871,897822,260466,1,6,22
93823,936774,271723,1,6,23
141093,984044,285384,1,6,24
192781,1035732,300322,1,6,25
245622,1088573,315593,1,6,26
296563,1139514,330315,1,6,27
345653,1188604,344502,1,6,28
391373,1234324,357715,1,6,29
434172,1277123,370084,1,6,30
472086,1315037,381041,1,6,31
506975,1349926,391124,1,6,32
535740,1378691,399437,1,6,33
561681,1404632,406934,1,6,34
583508,1426459,413242,1,6,35
603131,1446082,418913,1,6,36
619259,1462210,423574,1,6,37
631871,1474822,427219,1,6,38
643833,1486784,430676,1,6,39
652245,1495196,433107,1,6,40
-33887,926550,252476,1,7,1
-21987,938450,255707,1,7,2
-17803,942634,256843,1,7,3
-16242,944195,257267,1,7,4
-13450,946987,258025,1,7,5
-10117,950320,258930,1,7,6
-8213,952225,259447,1,7,7
-5403,955035,260210,1,7,8
-4224,956213,260530,1,7,9
-3635,956803,260690,1,7,10
-3049,957388,260849,1,7,11
-2578,957860,260977,1,7,12
-780,959657,261465,1,7,13
780,961219,261889,1,7,14
3020,963458,262497,1,7,15
4983,965421,263030,1,7,16
6320,966758,263393,1,7,17
12872,973310,265172,1,7,18
19527,979965,266979,1,7,19
30473,990912,269951,1,7,20
49246,1009684,275048,1,7,21
78331,1038769,282945,1,7,22
121872,1082311,294767,1,7,23
174142,1134581,308959,1,7,24
230199,1190637,324179,1,7,25
284631,1245069,338958,1,7,26
342168,1302606,354580,1,7,27
397208,1357646,369524,1,7,28
449397,1409835,383694,1,7,29
499951,1460389,397420,1,7,30
542140,1502579,408875,1,7,31
583490,1543928,420102,1,7,32
620339,1580778,430107,1,7,33
652765,1613203,438911,1,7,34
681508,1641946,446715,1,7,35
706413,1666851,453477,1,7,36
728205,1688644,459394,1,7,37
747785,1708223,464710,1,7,38
762233,1722672,468633,1,7,39
774001,1734439,471828,1,7,40
962,347869,111054,1,8,1
-1952,344954,110132,1,8,2
-3864,343041,109527,1,8,3
-5195,341710,109106,1,8,4
-5647,341258,108963,1,8,5
-5616,341290,108973,1,8,6
-5423,341483,109034,1,8,7
-5135,341771,109125,1,8,8
-4756,342150,109245,1,8,9
-4658,342248,109276,1,8,10
-5021,341884,109161,1,8,11
-4816,342090,109226,1,8,12
-4380,342526,109364,1,8,13
-3431,343474,109664,1,8,14
-2947,343958,109817,1,8,15
-2280,344625,110028,1,8,16
-1199,345706,110370,1,8,17
-1155,345751,110384,1,8,18
-1240,345665,110357,1,8,19
-785,346121,110501,1,8,20
-703,346203,110527,1,8,21
-207,346699,110684,1,8,22
207,347113,110815,1,8,23
399,347306,110876,1,8,24
643,347549,110953,1,8,25
896,347802,111033,1,8,26
1145,348052,111112,1,8,27
1512,348419,111228,1,8,28
1948,348855,111366,1,8,29
2252,349159,111462,1,8,30
2641,349547,111585,1,8,31
2843,349750,111649,1,8,32
3020,349927,111705,1,8,33
3260,350167,111781,1,8,34
3788,350695,111948,1,8,35
3962,350869,112003,1,8,36
4307,351213,112112,1,8,37
4768,351675,112258,1,8,38
5110,352016,112366,1,8,39
5350,352257,112442,1,8,40
11622,294390,78647,1,9,1
7218,289986,77478,1,9,2
4016,286784,76628,1,9,3
