temperature_logs.experiment_id,temperature_logs.elapsed_time,lid_temp,heat_block_zone_1_temp,heat_block_zone_2_temp
56,33,20.9,21.7,21.91
56,1032,21.15,21.7,21.91
56,2032,22.23,21.71,21.91
56,3032,23.73,21.72,21.92
56,4032,25.37,21.73,21.93
56,5032,27.08,21.74,21.94
56,6032,28.78,21.74,21.94
56,7032,30.46,21.75,21.95
56,8032,32.13,21.76,21.96
56,9033,33.75,21.77,21.96
56,10032,35.35,21.77,21.97
56,11033,36.93,21.78,21.98
56,12033,38.47,21.79,21.99
56,13033,39.98,21.8,21.99
56,14032,41.46,21.81,22.0
56,15032,42.94,21.82,22.01
56,16032,44.4,21.82,22.02
56,17032,45.83,21.83,22.02
56,18032,47.23,21.84,22.03
56,19032,48.65,21.84,22.04
56,20033,50.02,21.85,22.04
56,21032,51.39,21.86,22.05
56,22032,52.75,21.86,22.05
56,23032,54.1,21.87,22.06
56,24032,55.43,21.88,22.07
56,25032,56.73,21.88,22.07
56,26033,58.05,21.89,22.08
56,27032,59.33,21.9,22.09
56,28032,60.6,21.9,22.09
56,29032,61.86,21.91,22.1
56,30032,63.12,21.92,22.1
56,31033,64.35,21.92,22.11
56,32032,65.56,21.93,22.11
56,33032,66.78,21.93,22.12
56,34033,67.97,21.94,22.13
56,35032,69.16,21.94,22.13
56,36036,70.33,21.95,22.14
56,37032,71.49,21.95,22.14
56,38032,72.65,21.96,22.15
56,39032,73.79,21.96,22.15
56,40032,74.91,21.97,22.16
56,41032,76.04,21.98,22.16
56,42039,77.16,21.98,22.17
56,43032,78.26,21.99,22.17
56,44032,79.35,21.99,22.18
56,45032,80.44,22.0,22.18
56,46032,81.51,22.0,22.19
56,47032,82.57,22.01,22.19
56,48032,83.64,22.02,22.2
56,49032,84.68,22.02,22.21
56,50032,85.73,22.03,22.21
56,51032,86.78,22.03,22.22
56,52032,87.78,22.04,22.22
56,53032,88.81,22.04,22.23
56,54033,89.72,22.05,22.23
56,55033,90.76,22.05,22.24
56,56032,91.76,22.06,22.24
56,57032,92.74,22.07,22.25
56,58032,93.71,22.07,22.25
56,59033,94.65,22.08,22.26
56,60032,95.61,22.08,22.27
56,61032,96.57,22.09,22.27
56,62032,97.48,22.09,22.28
56,63032,98.42,22.1,22.28
56,64032,99.35,22.1,22.29
56,65032,100.25,22.11,22.29
56,66032,101.17,22.12,22.3
56,67032,102.04,22.12,22.3
56,68032,102.94,22.13,22.31
56,69032,103.78,22.14,22.32
56,70032,104.69,22.14,22.32
56,71033,105.57,22.15,22.33
56,72033,106.7,22.15,22.33
56,73032,107.27,22.16,22.34
56,74034,108.06,22.17,22.35
56,75032,108.79,32.58,32.32
56,76032,109.04,45.02,44.65
56,77032,109.16,55.74,55.31
56,78032,109.07,64.93,64.76
56,79032,108.92,73.3,72.97
56,80033,108.78,80.82,80.53
56,81032,108.73,87.47,87.21
56,82032,108.76,93.08,93.01
56,83032,108.8,93.53,93.59
56,84032,108.87,93.73,93.77
56,85033,108.94,93.82,93.82
56,86032,109.01,93.9,93.92
56,87032,109.04,93.96,93.98
56,88032,109.01,94.02,94.04
56,89032,109.03,94.08,94.09
56,90032,109.05,94.12,94.13
56,91032,109.08,94.17,94.17
56,92032,109.07,94.2,94.21
56,93032,109.1,94.25,94.25
56,94032,109.13,94.27,94.28
56,95032,109.15,94.31,94.31
56,96032,109.17,94.34,94.35
56,97032,109.18,94.38,94.38
56,98032,109.19,94.39,94.4
56,99032,109.17,94.42,94.43
56,100032,109.17,94.45,94.45
56,101032,109.21,94.47,94.48
56,102033,109.24,94.49,94.49
56,103032,109.41,94.52,94.51
56,104032,109.28,94.53,94.53
56,105032,109.28,94.55,94.55
56,106033,109.29,94.57,94.57
56,107033,109.26,94.58,94.59
56,108032,109.29,94.61,94.6
56,109032,109.31,94.62,94.62
56,110033,109.34,94.63,94.63
56,111032,109.36,94.65,94.65
56,112032,109.36,94.66,94.66
56,113032,109.37,94.67,94.68
56,114032,109.38,94.69,94.69
56,115033,109.34,94.71,94.7
56,116032,109.37,94.72,94.71
56,117033,109.4,94.73,94.73
56,118032,109.43,94.74,94.74
56,119032,109.44,94.74,94.75
56,120032,109.44,94.76,94.76
56,121032,109.45,94.77,94.77
56,122032,109.45,94.78,94.77
56,123032,109.43,94.79,94.78
56,124032,109.43,94.79,94.79
56,125032,109.7,94.81,94.82
56,126032,109.49,94.81,94.81
56,127032,109.5,94.82,94.82
56,128032,109.51,94.83,94.83
56,129032,109.52,94.83,94.83
56,130032,109.52,94.84,94.84
56,131032,109.52,94.85,94.86
56,132037,109.5,94.85,94.86
56,133032,109.51,94.85,94.86
56,134032,109.53,94.87,94.87
56,135032,109.56,94.87,94.87
56,136032,109.58,94.88,94.88
56,137032,109.58,94.88,94.88
56,138032,109.58,94.89,94.89
56,139032,109.59,94.89,94.9
56,140032,109.59,94.89,94.9
56,141032,109.59,94.9,94.9
56,142032,109.56,94.9,94.91
56,143032,109.58,94.91,94.92
56,144032,109.6,94.91,94.92
56,145032,109.63,94.92,94.92
56,146032,109.64,94.92,94.93
56,147032,109.65,94.92,94.93
56,148033,109.65,94.93,94.93
56,149032,109.65,94.94,94.93
56,150032,109.65,94.94,94.94
56,151032,109.63,94.95,94.94
56,152032,109.62,94.94,94.95
56,153032,109.65,94.95,94.95
56,154032,109.67,94.95,94.96
56,155032,109.69,94.96,94.95
56,156032,109.7,94.95,94.96
56,157032,109.7,94.96,94.96
56,158033,109.7,94.95,94.96
56,159032,109.69,94.96,94.97
56,160032,109.69,94.96,94.97
56,161034,109.7,94.96,94.97
56,162032,109.67,94.97,94.97
56,163032,109.68,94.98,94.98
56,164032,109.72,94.96,94.98
56,165032,109.64,94.97,94.97
56,166032,109.74,94.98,94.98
56,167032,109.74,94.99,94.98
56,168032,109.74,94.98,94.98
56,169032,109.74,94.98,94.99
56,170032,109.74,94.99,94.99
56,171032,109.74,94.98,94.99
56,172032,109.73,94.98,94.99
56,173033,109.72,94.99,94.99
56,174032,109.75,94.99,95.0
56,175032,109.77,94.99,94.99
56,176032,109.79,94.99,95.0
